ID,Upvotes
366953,232.41
71864,85.67
141692,47.09
316833,33.98
440445,307.11
3514,43.6
331420,22.73
406540,92.45
227379,47.91
331687,10.05
32784,8.0
470377,34.6
338103,8.33
29883,247.3
218228,46.45
70945,688.89
14328,47.53
259947,115.04
346378,469.93
384621,9.075
425418,27.89
131224,133.95
365408,30.27
218626,15.11
331722,38.59
310969,10.18
307391,142.37
14072,188.68
238694,4.25
213841,18.61
165258,129.44
123606,30.58
214062,34.22
279450,497.9
178546,12.88
358455,27.45
386308,12.02
155592,28.21
200090,29.78
127308,9.68
449766,23.39
223688,445.54
442443,9.76
451259,439.39
87024,1.97
207529,200.76
196568,18.29
38258,223.17
387275,2.58
86152,21.05
302142,154.06
401268,341.96
307187,0.77
252388,27.7
844,13.03
105707,17.25
230309,288.38
362573,47.22
173751,99.14
349049,10.29
310466,11.43
205786,141.39
208358,62.75
440214,129.28
41343,10.23
427741,180.21
355001,57.56
137708,42.18
146326,315.01
220889,36.72
205742,1556.28
28737,44.87
292474,25.69
349149,5.76
46230,0.96
303160,68.4
292638,33.67
210116,3.91
55900,6.58
91135,14.96
452177,243.72
170628,6.83
237099,20.4
166022,17.21
175687,42.58
392847,4.55
454964,1.64
259259,15.69
289148,211.93
311134,37.86
62551,644.71
336258,5.37
468049,33.17
22189,26.6
264888,21.98
451615,320.77
85004,25.81
375246,93.73
60204,18.05
126097,9.51
182425,5591.06
449937,72.38
442637,9409.48
378184,69.51
357584,251.78
383054,58.01
299871,10.96
152764,28.97
22064,10.37
416791,22.11
440686,82.1
44537,9.73
80203,5.21
81726,21.05
440068,268.97
109276,44.02
120567,5.07
169520,254.22
84443,6.88
139139,48.0
346145,8.71
75219,20.34
244042,63.55
6992,27.35
337741,3.98
20091,700.92
420761,86.23
101501,1.67
408598,729.62
306979,24.45
50260,12.59
21088,14.28
462951,5.52
196903,6.03
155361,188.89
51756,13.45
192022,1.69
384071,7.33
173305,615.92
56449,37.08
172164,22.23
341063,13.26
431990,15.42
342757,97.2
335181,2.07
121613,31.36
40216,85.54
116940,52.65
351719,5.75
436421,6.63
173164,18.86
362350,4.21
357892,330.29
335957,53.6
192010,1.2875
407412,12.22
19359,14.17
82078,54.21
375709,2540.5
122137,123.89
244661,9.3
434900,75.26
54220,1.09
425162,80.62
453118,52.7
373873,2.28
238415,492.42
53501,114.96
67918,8.38
68982,0.83
81980,59.61
332015,57.34
171470,12.48
24209,9.16
396455,120.54
236372,36.91
29062,203.78
248733,17.85
43097,10.34
401490,23.9
181282,30.86
285264,18.99
386230,1.86
262238,1.63
226323,13.77
224589,81.62
61,27.27
120331,10.19
59519,6.67
263459,529.22
188774,863.84
157423,19.86
204323,736.59
94807,1.75
130112,21.76
298030,155.96
361994,0.61
242867,166.26
345301,6.52
404296,1.3075
403325,15.65
78570,16.98
247119,89.75
433907,1396.28
51709,7.49
256743,16.42
132448,51.15
429148,12.09
384840,4.95
434864,248.53
317954,113.6
452061,18.9
85212,30.5
373284,2.01
284208,239.64
233976,39.01
105691,1274.42
375077,202.07
26720,37.52
70683,68.91
281194,31.43
390953,153.4
59608,450.48
341707,16.91
403654,32.63
209246,60.61
295413,39.68
379392,355.09
261533,21.35
130134,38.95
137990,154.62
413320,61.68
468459,131.42
189150,3.62
381154,12.33
373043,25.0
231677,6999.63
438093,24.02
443706,25.17
230906,24.81
138183,4.04
78231,7.73
70795,24.71
283674,292.3
144543,17.99
213929,49.77
458437,1195.15
279629,42.21
284422,9.15
29532,14.76
409963,36.17
325099,106.52
409635,535.64
18156,13.14
355380,6.43
412081,68.18
363354,37.67
354537,217.59
209720,20.61
150078,68.42
31479,92.79
455028,18.09
104579,540.67
102986,23.23
60804,5.86
361348,157.15
234054,7853.86
212541,9.68
452107,12.24
227926,11.52
340913,13.87
316690,130.11
223984,5.37
193558,1222.89
155138,576.65
36080,11.3
355444,59.0
310281,16.49
79606,70.28
16325,473.54
460657,238.75
159813,37.28
390567,65.03
340325,16.26
85871,22.56
360723,7388.22
200645,12.73
180440,236.18
9158,49.36
295966,118.37
131958,163.2
168051,168.05
246426,1.99
195598,1.36
6177,24.94
10574,3.92
181076,27.95
170742,11.02
123659,41.15
333658,2.42
293962,35.61
423136,212.46
90343,223.15
32867,82.17
143820,80.42
16783,101.86
286877,331.76
422113,4.96
42145,6.18
377322,5.75
232647,1.1
320851,82.06
74336,552.76
121520,56.09
46307,1.0675
137345,27.24
426975,20.78
126697,7.97
188080,10.42
399469,41.02
132942,42.24
199602,325.47
335704,34.03
20602,15.93
458202,516.11
74016,38.43
374627,432.04
169941,87.44
267769,110.68
108489,4.73
51782,8.43
160092,30.9
152160,142.94
162504,21.15
286106,74.05
331480,22.91
451655,23.25
311726,9.0
199325,65.88
24806,2.76
237104,4.97
252830,87.99
273090,46.05
115172,20.76
28445,86.11
153732,121.56
40870,0.76
212207,83.92
411175,8.1
213177,17.8
149578,0.8266666666666665
329243,37.44
26565,569.91
242893,536.81
163630,40.02
11802,15.02
434228,677.96
277388,831.38
116623,3417.49
12726,26.45
92182,11.31
308356,3.04
342196,13.87
435921,54.1
117479,1283.23
20084,34.62
110267,1122.12
211485,19.34
52505,12.09
105490,41.27
400015,24.98
376091,14.73
169994,12.43
447639,36.12
371187,4.79
90597,10.02
142364,2.62
337332,338.3
381967,437.7
333824,62.01
148970,25.23
164926,28.04
283475,89.54
385738,58.34
351580,2.2
252511,51.21
74994,21.7
181215,20.1
175240,17.24
326299,42.43
147014,57.74
43,17.11
168852,7.36
139899,166.81
92827,93.56
165023,10.46
65135,93.37
438924,4.16
124065,54.89
468868,2.51
395456,8.79
80156,447.36
279666,96.18
255179,242.62
30329,18.26
351240,9.23
330034,192.6
12342,14.33
327306,100.82
110149,3.73
368744,17.84
96337,173.31
343321,3.46
79366,42.79
199920,21.1
22910,113.84
446787,14.46
367361,28.08
272292,40.71
333092,14.28
192137,972.01
82097,116.54
98490,1942.74
114358,121.85
405496,24.57
464141,12.88
34565,23.64
446335,24.26
38895,61.81
326932,188.71
461640,7.72
386626,19.49
217886,26.7
321498,17.65
247211,4137.81
25731,97.72
202584,7.58
99937,30.51
92509,13.07
306100,33.33
45223,26.78
72671,24.59
55616,30.78
398035,0.42
154437,39.37
468623,221.75
316964,6.674166666666667
232389,402.24
208692,14.98
64213,26.8
204826,7.11
296884,91.95
387856,6.47
52733,26.06
433114,42.46
57249,92.02
162316,13.67
422712,0.31
444109,4.08
349477,313.69
207955,5.29
128102,190.23
411957,7.91
294032,38.05
223753,39.54
357921,155.95
73844,6.92
365578,25.65
380793,45.4
185815,155.14
221374,163.52
218609,25.75
291475,1.03
237002,4.81
279871,69.33
232371,37.56
168273,27.83
75316,57.7
3824,33.01
438075,2.95
160250,82.5
380340,13.98
352801,194.25
434035,3515.05
149361,1690.72
204152,124.69
369459,148.16
351015,236383.82
305068,20.99
85319,2.01
27745,50.55
37261,6.5
368918,15.6
337189,1.01
3327,5.42
133421,40.82
30437,13.0
303572,1187.48
136054,299.64
312527,13.72
370874,15.13
140592,19.84
377841,255.38
71778,36.79
199950,33.38
190852,10.07
67830,21.46
208455,131.27
462157,8.17
228701,38.63
329939,324.12
440520,1.88
367764,40.2
127480,3.3
186438,25.03
200433,4.47
200134,40.86
275380,196.16
99675,61.49
307262,10.8
354584,27.1
402847,12.81
90838,1.66
152632,40.61
319489,209.11
270904,163.86
107095,210.48
338868,133.13
372699,20.64
443059,4.54
430108,230.97
165124,1.7
377542,379.9
399562,84.83
111046,17.59
174685,17.68
391584,45.24
174366,0.28
278958,4.89
115864,9.76
361314,3.54
421516,5.96
438082,41.69
100374,33.27
